rankid,rank,song,artist,year
"452","52","Lay Lady Lay","Bob Dylan","1969"
"453","53","Atlantis","Donovan","1969"
"454","54","Traces","Classics IV","1969"
"455","55","It's Getting Better","""Mama"" Cass Elliot","1969"
"456","56","This Magic Moment","Jay and the Americans","1969"
"457","57","Runaway Child, Running Wild","The Temptations","1969"
"458","58","Hawaii Five-O","The Ventures","1969"
"459","59","Galveston","Glen Campbell","1969"
"460","60","I'm Gonna Make You Mine","Lou Christie","1969"
"461","61","Gitarzan","Ray Stevens","1969"
"462","62","Can I Change My Mind","Tyrone Davis","1969"
"463","63","Time Is Tight","Booker T & the M.G.'s","1969"
"464","64","This Girl's in Love With You","Dionne Warwick","1969"
"465","65","Color Him Father","The Winstons","1969"
"466","66","Black Pearl","Checkmates, Ltd.","1969"
"467","67","Indian Giver","1910 Fruitgum Company","1969"
"468","68","Mother Popcorn","James Brown","1969"
"469","69","Twenty-Five Miles","Edwin Starr","1969"
"470","70","Things I'd Like to Say","New Colony Six","1969"
"471","71","When I Die","Motherlode","1969"
"472","72","That's the Way Love Is","Marvin Gaye","1969"
"473","73","Everybody's Talkin'","Harry Nilsson","1969"
"474","74","The Worst That Could Happen","Johnny Maestro & the Brooklyn Bridge","1969"
"475","75","The Chokin' Kind","Joe Simon","1969"
"476","76","Smile a Little Smile for Me","The Flying Machine","1969"
"477","77","Polk Salad Annie","Tony Joe White","1969"
"478","78","Ruby, Don't Take Your Love to Town","Kenny Rogers and The First Edition","1969"
"479","79","Games People Play","Joe South","1969"
"480","80","You Showed Me","The Turtles","1969"
"481","81","Tracy","The Cuff Links","1969"
"482","82","Oh, What a Night","The Dells","1969"
"483","83","Something","The Beatles","1969"
"484","84","This Girl Is a Woman Now","Gary Puckett & The Union Gap","1969"
"485","85","Come Together","The Beatles","1969"
"486","86","Ramblin' Gamblin' Man","Bob Seger","1969"
"487","87","I'm Gonna Make You Love Me","The Supremes & The Temptations","1969"
"488","88","I Heard It Through the Grapevine","Marvin Gaye","1969"
"489","89","Gimme Gimme Good Lovin'","Crazy Elephant","1969"
"490","90","Hang 'Em High","Booker T & the M.G.'s","1969"
